nation;strength
Australia;0.0689
South Africa;0.0859
Canada;0.0955
England;0.1166
Singapore;0.1300
Ireland;0.1369
Hong Kong;0.2049
Greece;0.2196
Pakistan;0.2285
Malaysia;0.2307
Swaziland;0.2756
Netherlands;0.2769
New Zealand;0.2913
Peru;0.2935
India;0.3369
United Arab Emirates;0.3881
Slovenia;0.3883
Croatia;0.3962
Mexico;0.4098
Estonia;0.4125
Germany;0.4258
Scotland;0.4303
Wales;0.4373
United States;0.4407
Indonesia;0.4494
Philippines;0.4521
Sri Lanka;0.4715
Denmark;0.4787
Thailand;0.4862
China;0.4879
South Korea;0.5198
Israel;0.5861
Barbados;0.6122
Czech Republic;0.6285
Qatar;0.6519
Slovakia;0.6809
Bermuda;0.6942
Argentina;0.7201
Romania;0.7275
Chile;0.7278
Bangaldesh;0.7376
Turkey;0.7408
Nepal;0.7547
Lithuania;0.7622
Palestine;0.7736
Sweden;0.7882
Montenegro;0.8200
Taiwan;0.8285
Mongolia;0.8400
Macau;0.8407
Hungary;0.8434
Bahrain;0.8679
Bosnia & Herzegovina;0.8800
Kuwait;0.8945
Zimbabwe;0.9057
Japan;0.9315
Morocco;0.9400
Nigeria;0.9870
Uganda;1.0000
Rwanda;1.0000
Switzerland;1.0000
Belarus;1.0000
